abspath.c path 	adlist.c list 
match img remainder 	including limited 
preimage must 	procurement substitute 
blank hunk beyond 	goods services 
end img 	loss 
removing blanks end 	use data 
reject hunk 	profits business 
position quick hash 	interruption however 
check exact 	caused theory 
match told match 	liability whether 
end size 	contract 
must exactly fragsize 	strict liability 
otherwise fragsize 	tort including 
must still within 	negligence otherwise 
preimage either 	arising way 
old piece 	use software 
match preimage exactly 	even 
preimage beyond 	advised possibility 
end img cannot 	damage flags 
exact match 	used certain 
must one non 	functions aof.c 
blank context 	size block 
line match line 	privdata 
end img 	mask block 
exact match ignoring 	nwritten len 
whitespace run 	block thislen 
line line fuzzy 	numblocks level 
matching collect 	count block 
line length information 	nwritten 
need adjust 	statloc cwd 
whitespace match preimage 	cwdp force 
matches whitespace 	nwritten sync 
fuzz imgoff 	progress latency 
holds length target 	last write 
matches preimage 	error 
end file count 	log log 
number characters 	dst argc 
preimage fall beyond 	argv buf 
end file 	len buf 
make sure whitespace 	cmd key 
characters happen 	seconds 
removing blank lines 	argv cmd 
end file 	dictid argv 
update preimage common 	argc buf 
postimage context 	tmpargv seldb 
lines use whitespace 	filename fake 
target whitespace 	client 
missing target preimage 	old aof 
beyond end 	state loops 
file use whitespace 	valid argc 
preimage hunk 	len argv 
apply hash 	buf argsds 
says might whitespace 	cmd 
fuzz weren 	obj key 
asked ignore whitespace 	items list 
asked correct 	entry cmd 
whitespace errors matching 	items key 
whitespace correction 	items llval 
checking preimage target 	cmd 
whitespace errors 	items eleobj 
count large corresponding 	cmd items 
postimage needs 	key items 
postimage prepared apply 	eptr sptr 
one fragment 	vstr vlen 
whitespace errors added 	vll 
lines already 	score cmd 
common lines propagated 	items eleobj 
may become 	score cmd 
longer whitespace errors 	items vstr 
first count 	vlen vll 
added lines 	key 
postimage preimage may 	items cmd 
extend beyond 	items buf 
end file loop 	nread total 
handle part 	filename aof 
preimage falls within 	tmpfile processed 
file fixing 	selectcmd 
line preimage fixing 	keystr key 
line target 	expiretime cmd 
match either preimage 	cmd nodata 
version whitespace 	start privdata 
breakage lacking whitespace 	mask fds 
fix patch 	childpid 
preimage already target 	start tmpfile 
whitespace breakage 	dirty childpid 
preimage doesn either 	tmpfile latency 
fixing whitespace 	exitcode bysignal 
breakages might well 	newfd oldfd 
take fix 	tmpfile 
together real 	latency list 
change length common 	release list 
postimage handle 	create list 
lines preimage falls 	free method 
beyond end 	list rewind 
file match empty 	list 
contain whitespace 	next list 
blank eol start 	node unused 
preimage fixing 	unused unused 
line preimage yes 	unused list 
preimage older 	first file 
version still whitespace 	write 
breakages unfixed 	memmove list 
fixing makes hunk 	del node 
match update 	list last 
context lines postimage 	memcpy zmalloc 
match beginning 	list 
match end specified 	node tail 
point starting 	list length 
wrong line 	server log 
never match wander 	aof rewrite 
around wait 	buffer size 
match specified end 	file 
comparison following 	events create 
test also take 	file list 
care negative 	rewind list 
line number result 	next list 
match end 	node write 
preimage larger target 	bio 
probably smart 	create background 
way smart beautiful 	job server 
people simple 	flush append 
stupid change preimage 	file aof 
postimage found 	fsync close 
apply applied pos 	server 
counts line 	log kill 
numbers img 	wait aof 
update img preimage 	rewrite buffer 
replace postimage 	reset aof 
copy preimage offset 	temp file 
img replace 	aof 
postimage removing blank 	close pipes 
lines end 	open server 
img preimage may 	getcwd server 
extend beyond 	log strerror 
end must careful 	rewrite append 
part preimage 	file 
falls within boundaries 	background close 
img initialize 	server log 
preimage limit number 	sdslen bio 
lines preimage 	pending jobs 
falls within boundaries 	type server 
adjust contents 	log 
adjust line table 	latency start 
note knows 	monitor write 
never call 	sdslen latency 
first line anything 	end monitor 
pre post 	latency sample 
image use patch 	needed 
hunk text 	latency sample 
frag prepare two 	needed latency 
images preimage 	sample needed 
postimage hunk find 	latency sample 
lines match 	needed sdslen 
preimage img replace 	server 
part img 	log strerror 
postimage text plen 	server log 
much line 	sdslen ftruncate 
use actual patch 	server log 
data normally 	strerror server 
first character line 	log 
line followed 	exit sdsrange 
newline also last 	server log 
one newline 	sdslen sdsavail 
course newer 	sdsclear sdsfree 
gnu diff empty 	sdsempty latency 
context line 	start 
followed newline nothing 	monitor aof 
fall lines 	fsync latency 
ignore already handled 	end monitor 
hunk change 	latency sample 
lines beginning would 	needed aof 
begin need 	background 
careful inserts second 	fsync sdscatlen 
line also 	decoded sdslen 
pattern hunk empty 	sdscatlen sdscatlen 
file would 	sdslen sdscatlen 
begin words hunk 	decr count 
frag oldpos 	decoded 
without leading context 	strtoll mstime 
must match 	decr count 
beginning hunk without 	create create 
trailing lines 	cat append 
must match 	command decr 
end however simply 	count 
cannot tell 	decr count 
hunk must match 	sdsempty snprintf 
end lack 	sdscatprintf strlen 
trailing lines patch 	cat append 
generated unidiff 	expire command 
without context context 	create 
limits reduce 	cat append 
number context lines 	command decr 
reduce leading 	count cat 
trailing equal otherwise 	append expire 
reduce larger 	command cat 
context would want 	append 
prevent write 	command sdscatlen 
results taking place 	sdslen aof 
apply patch 	rewrite buffer 
follows callchain 	append sdslen 
led apply patch 	sdsfree zmalloc 
check patch 	sdsempty 
list check patch 	list create 
apply data 	list create 
apply fragments apply 	list free 
one fragment 	method list 
warn necessary reduce 	dup method 
number context 	init 
lines binary patch 	client multi 
irreversible without 	state decr 
optional second hunk 	count zfree 
replace img 	sdsfree list 
result applying binary 	release list 
patch binary 	release 
patch data patch 	free client 
fragment still 	multi state 
kept preimage prepared 	zfree fopen 
caller img 	redis fstat 
freed helper 	fileno fclose 
function apply binary 	server 
fragment calls 	log strerror 
safety require patch 	exit create 
index line 	fake client 
contain full textual 	start loading 
sha old 	loading progress 
least see old 	ftello 
one matches 	process events 
patch applies otherwise 	blocked fgets 
old one 	feof atoi 
must empty deletion 	zmalloc fgets 
patch already 	free fake 
postimage verified buf 	client 
matches preimage 	argv strtol 
apply patch data 	sdsnewlen fread 
stored patch 	sdsfree free 
fragments patch size 	fake client 
verify result 	argv create 
matches xxx 	fread 
read sha file 	free fake 
nul terminates 	client argv 
item filename table 	lookup command 
records status 	server log 
path usually points 	exit proc 
patch whose 	server 
result records contents 	list length 
applying could 	server free 
path deleted path 	fake client 
previously applied 	argv ftello 
patch already removed 	fclose free 
path deleted 	fake 
path later patch 	client stop 
would latter 	loading aof 
needed deal two 	update current 
paths swapped 	size feof 
first renaming renaming 	server log 
moving prevented 	strerror 
due presence 	exit server 
later patch always 	log server 
name unless 	log truncate 
patch deletion cover 	server log 
cases normal 	server log 
diffs file creations 	strerror 
copies store 	lseek server 
failure rename deletion 	log strerror 
cases later 	server log 
chunks shouldn patch 	server log 
old names 	exit server 
store information incoming 	log 
file deletion 	exit rio 
git patches depend 	write bulk 
order deletion 	sds encoded 
hasn happened yet 	rio write 
apply patch 	bulk sdslen 
populate image 	server 
current version working 	panic quicklist 
index depending 	iterator quicklist 
situation cached index 	next rio 
applying non 	write bulk 
git patch incrementally 	count rio 
updates read 	write 
result previous diff 	bulk rio 
patched copy 	write bulk 
memory use way 	rio write 
apply subproject 	bulk rio 
patch without looking 	write bulk 
index needswork 	quicklist 
shouldn flagged error 	release iterator 
directly falling 	server panic 
back three way 	intset rio 
merge read 	write bulk 
current contents name 	count rio 
cases function 	write 
called point 	bulk rio 
falling back way 	write bulk 
merge cases 	rio write 
preimage patch prepared 	bulk dict 
apply patch 	iterator dict 
post image post 	next 
sha sha 	dict key 
core three way 	rio write 
merge post 	bulk count 
pre note reject 	rio write 
apply fragments 	bulk rio 
returns patch looking 	write 
modifies deletes 	bulk rio 
would want lose 	write bulk 
local modification 	dict release 
either working index 	iterator server 
also decides 	panic ziplist 
non git patch 	index 
creation patch 	server ziplist 
modification existing 	next server 
empty file check 	server ziplist 
state current 	zzl score 
creation patch function 	rio write 
caller check 	bulk 
patch separately makes 	count rio 
sure errors 	write bulk 
otherwise path patch 	rio write 
creates exist 	bulk rio 
current leading component 	write bulk 
name might 	rio 
symlink going removed 	write bulk 
patch still 	rio write 
pointing somewhere path 	bulk zzl 
path name 	next dict 
exist far git 	iterator dict 
concerned need 	next 
keep track symlinks 	dict key 
preimage manipulated 	dict val 
patches patch 	rio write 
symlink allowed affect 	bulk count 
directory symlink 	rio write 
points patch removes 	bulk 
perfectly fine 	rio write 
patch removes make 	bulk rio 
room create 	write bulk 
directory created symlink 	rio write 
patch old 	bulk dict 
name removed symlink 	release 
patch name 	iterator server 
created remains scan 	panic hash 
backwards cannot 	type current 
may see one 	ziplist rio 
created higher 	write bulk 
level otherwise check 	rio 
preimage check 	write bulk 
apply patch core 	hash type 
result patch 	current hash 
result caller 	table rio 
write destination drop 	write bulk 
succeed type 	server 
change diff always 	panic hash 
split patch 	type init 
old immediately followed 	iterator hash 
patch create 	type next 
see diff run 	rio write 
diff entry 	bulk 
deleted previous patch 	count rio 
still working 	write bulk 
index patch swap 	rio write 
rename would 	bulk rio 
first rename rename 	write hash 
applying first 	iterator 
one presence stop 	cursor rio 
getting renamed 	write hash 
ask deleted 	iterator cursor 
later rename removal 	hash type 
rename handled 	release iterator 
way asking deleted 	read 
happy attempt 	sdscatlen mstime 
