abspath.c path 	AboutActivity.java saved 
lost parent 	stream file 
lines lost current 	reader 
parent coalescing 	file writer 
lines surviving merge 	input stream 
result accumulated 	output 
coalesced lost lines 	stream random 
bit parent 	access file 
line change 	serializable 
bit used interesting 	collections hash 
lines including 	map 
context bit used 	map map 
show deletion 	entry concurrent 
consume remaining spaces 	atomic 
matched full 	atomic integer 
line line coalesce 	concurrent atomic 
lines finding 	atomic 
lcs coalesce lines 	json json 
finding lcs 	json json 
create table run 	android 
programming compute 	content context 
lcs reverse read 	android graphics 
direction structure 	bitmap 
match assign parent 	android graphics 
flag consume 	bitmap 
baseend newend consume 	factory android 
baseend insert 	graphics canvas 
newend lline 	android 
consume newend point 	graphics pixel 
baseend newend 	format android 
point end lists 	graphics 
lline list 	drawable bitmap 
update newend lline 	drawable android 
list deleted 	graphics 
blob removed lines 	drawable drawable 
would come 	xiecc see 
line result lost 	weather 
buckets hang 	application buffered 
line removed lines 	reader 
note correct 	buffered writer 
even hunk removes 	input stream 
first line 	output 
file hunk yet 	stream file 
result deleted 	file output 
assign line numbers 	stream 
parent sline 	file reader 
lno lno 	file writer 
records first line 	input 
number counting 	stream output 
parent hunk display 	stream random 
started showing 	access 
sline lno possibly 	file serializable 
showing lost 	collections 
lines attached first 	hash map 
coalesce lines 	map map 
many lines would 	entry 
sline advance 	concurrent atomic 
lno means parent 	atomic integer 
means parent 	concurrent 
trailer parents lost 	atomic atomic 
lines added 	json json 
parent interesting points 	json 
first uninteresting 	json android 
line last 	content context 
line hunk interesting 	android 
deletion interesting 	graphics bitmap 
purpose giving trailing 	android 
context lines 	graphics bitmap 
output line unmodified 	factory android 
sline gives 	graphics 
one extra context 	canvas android 
line examined 	graphics pixel 
look find next 	format 
interesting uninteresting 	android graphics 
line interesting mean 	drawable bitmap 
interesting marked 	drawable 
give context function 	android graphics 
includes context 	drawable drawable 
lines interesting interesting 	xiecc 
function surrounded 	see weather 
interesting ones two 	application 
groups interesting 	buffered reader 
lines may 	buffered writer 
gap uninteresting lines 	input 
connect groups 	stream output 
give bit context 	stream file 
first start 	file 
interesting function says 	output stream 
mark mark 	file reader 
paint context lines 	file 
mark interesting 	writer input 
would still say 	stream output 
context lines 	stream 
treated interesting end 	random access 
paint lines 	file 
first interesting line 	serializable collections 
know included 	hash map 
next uninteresting one 	map 
start rest 	map entry 
interesting lookahead context 	concurrent atomic 
lines interesting 	atomic 
paint interesting 	integer concurrent 
gap small first 	atomic atomic 
uninteresting line 	json 
overlap beyond within 	json json 
context lines 	json android 
paint trailing edge 	content 
bit look 	context android 
hunk changes one 	graphics 
parent changes 	bitmap android 
one parent mark 	graphics bitmap 
uninteresting interesting 	factory 
hunks look beyond 	android graphics 
end see 	canvas android 
interesting line hunk 	graphics 
within context 	pixel format 
span lookahead hunk 	android graphics 
end interesting 	drawable 
really interesting check 	bitmap drawable 
two versions 	android graphics 
result matches 	drawable 
one look line 	drawable xiecc 
records lines 	see 
added parents line 	weather application 
appears result 	buffered reader 
line records parents 	buffered 
line removed 	writer input 
line appear result 	stream output 
check parents 	stream 
result difference lines 	file file 
lines different 	output stream 
parents result differences 	file 
means two 	reader file 
versions even two 	writer input 
versions result 	stream 
match parents considered 	output stream 
interesting would 	random 
line passing 	access file 
two versions test 	serializable collections 
would appear 	hash 
parents parents changes 	map map 
others lost 	map entry 
line parents hunk 	concurrent 
interesting result 	atomic atomic 
deleted pointing last 	integer concurrent 
hunk even 	atomic 
running unified lines 	atomic json 
hunk needs 	json json 
processed loop order 	json 
show deletion 	android content 
recorded lost head 	context 
however want 	android graphics 
show resulting line 	bitmap android 
blank context 	graphics 
markers compensate sline 	bitmap factory 
hang lost 	android graphics 
lines front 	canvas 
already examined parent 	android graphics 
know parent 	pixel format 
parent reuse combined 	android 
result parent 	graphics drawable 
parent overall size 	bitmap 
file sline 	drawable android 
cnt say added 	graphics drawable 
nobody survived 	drawable 
lines read result 	xiecc see 
merge first 	weather application 
used diff read 	buffered 
working symlinks 	reader buffered 
work symlink parents 	writer input 
symlinks fake 	stream 
symlink apply filters 	output stream 
autocrlf incomplete 	file file 
line even lno 	output 
cnt valid 	stream file 
end line 	reader 
number deletion hunk 	file writer 
end many 	input stream 
colons parents show 	output 
modes show 	stream random 
sha result elem 	access file 
working parents 	serializable 
typically multiple stages 	collections hash 
merge diff 	map map 
files state head 	map 
index diff 	entry concurrent 
index combine diff 	atomic atomic 
path expresses 	integer 
parents lhs merge 	concurrent atomic 
result synthesize 	atomic 
diff filepair entries 	json json 
one side 	json json 
entry two side 	android 
future might 	content context 
want data 	android graphics 
combine diff path 	bitmap 
fill fields 	android graphics 
ignoring notably size 	bitmap factory 
currently nobody 	android 
uses suffice find 	graphics canvas 
paths every 	android graphics 
parent touches tell 	pixel 
diff emit 	format android 
paths sorted order 	graphics 
wrt paths 	drawable bitmap 
show stat first 	drawable android 
parent even 	graphics 
combined diff showing 	drawable drawable 
diff show 	xiecc see 
requested order find 	weather 
paths everybody 	application buffered 
touches assuming 	reader buffered 
diff run without 	writer 
rename copy 	input stream 
detection etc comparing 	output stream 
trees simultaneously 	file 
faster fake list 	file output 
head worker 	stream 
non nothing parents 	file reader 
find paths 	file writer 
everybody touches note 	input 
diffcore transformations 	stream output 
bound diff filespec 	stream random 
logic comparing 	access 
two entries apply 	file serializable 
directly combine 	collections hash 
diff transformations requested 	map 
launch path 	map map 
scanning works significantly 	entry concurrent 
slower compared 	atomic 
simultaneous trees 	atomic integer 
one scan find 	concurrent 
paths multitree 	atomic atomic 
todo filters could 	json json 
ported work 	json 
combine diff paths 	json android 
functionality skips 	content context 
paths theory could 	android 
end multitree 	graphics bitmap 
path scanning note 	android graphics 
please keep 	bitmap 
semantically sync diffcore 	factory android 
std note 	graphics canvas 
also handles stat 	android 
computes diff 	graphics pixel 
sha parent job 	format 
specifically parent 	android graphics 
show stat first 	drawable bitmap 
parent even 	drawable 
combined diff 	android graphics 
find number surviving 	drawable drawable 
paths order 	xiecc 
paths according diffcore 	see weather 
order clean 	application buffered 
things commit-slab.h define 	reader 
commit slab 	buffered writer 
slabname elemtype creates 	input stream 
boilerplate code 	output 
define slabname used 	stream file 
associate piece 	file 
data elemtype commits 	output stream 
functions use 	file reader 
including header file 	file 
define commit 	writer input 
slab indegee call 	stream output 
following functions 	stream 
indegree indegree commit 	random access 
function locates 	file serializable 
data associated 	collections 
given commit indegree 	hash map 
slab returns 	map map 
pointer location store 	entry 
data allocated 	concurrent atomic 
necessary indegree peek 	atomic 
indegree commit 	integer concurrent 
function similar indegree 	atomic atomic 
call indegree 	json 
made commit init 	json json 
indegree indegree 	json android 
init indegree stride 	content 
indegree initializes 	context android 
indegree slab associates 	graphics bitmap 
integers commit 	android 
stride specifies big 	graphics bitmap 
slab initialized 	factory android 
variant without stride 	graphics 
associates commit 	canvas android 
one integer 	graphics 
clear indegree indegree 	pixel format 
empties slab 	android graphics 
slab reused stride 	drawable 
without calling 	bitmap drawable 
init indegree reconfigured 	android graphics 
different stride 	drawable 
calling init indegree 	drawable xiecc 
stride call 	see weather 
function slab falls 	application 
scope avoid 	buffered reader 
leaking memory allocate 	buffered writer 
allowing malloc 	input 
overhead note seemingly 	stream output 
redundant second 	stream 
declaration required allow 	file file 
terminating semicolon 	output stream 
makes instantiations 	file 
look like function 	reader file 
declarations expansion 	writer input 
define commit slab 	stream 
indegree ends 	output stream 
stat indegreerealloc would 	random access 
otherwise syntax 	file 
error according least 	serializable collections 
iso hard 	hash map 
gcc silently parses 	map 
statically initialize 	map entry 
commit slab named 	concurrent 
note evaluates 	atomic atomic 
stride multiple times 	integer concurrent 
example indegree 	atomic 
indegrees commit slab 	atomic json 
init indegrees 	json json 
commit slab commit-tree.c 	json 
commit usage 	android content 
sign commit 	context android 
parent parents oid 	graphics 
parents status 	bitmap android 
argc argv prefix 	graphics bitmap 
got parents 	factory 
sha commit sha 	android graphics 
buffer arg 	canvas 
sha error oid 	android graphics 
hex commit 	pixel format 
list insert git 	android 
gpg config 	graphics drawable 
strcmp git config 	bitmap drawable 
git config 	android 
git config strcmp 	graphics drawable 
usage strcmp 	drawable xiecc 
usage sha commit 	see 
die sha 	weather application 
type parent lookup 	buffered reader 
commit skip 	buffered 
prefix strcmp 	writer input 
strcmp usage strbuf 	stream 
addch strbuf 	output stream 
addstr strbuf complete 	file file 
line strcmp 	output 
usage strbuf addch 	stream file 
