adlist.c list 	abspath.c path 
disconnect immediately 	tag positive 
pending callbacks 	end range expressed 
custom reply 	terms tag 
functions supported 	range need include 
pub sub 	name independent 
fail 	pack objects 
hard used 	input tag included 
locate right 	output otherwise 
callback unsubscribe 	would end triggering 
message last 	empty bundle 
unsubscribe message 	error end header 
revert 	write pack 
non subscribe 	data close passed 
mode shift 	commit file 
callback invalid 	also close lockfile 
commands connection 	make copy 
disconnected replies 	file descriptor avoid 
cue 	trying close 
really disconnect 	twice write signature 
monitor mode 	init revs 
repush callback 	list objects pack 
connection disconnected 	objects later 
simply stop 	write prerequisites write 
trying 	pack basic 
replies wait 	handler bundle 
next loop 	files connect repositories 
tick even 	via sneakernet 
context subscribed 	invocation must include 
pending regular 	action function 
callbacks 	create bundle provide 
reply pub 	information existing 
sub messages 	bundle supporting fetch 
arrive spontaneous 	pull remote 
reply subscribed 	builtin bundle usage 
context error 	argc argv 
reply 	prefix header cmd 
sent connection 	bundle file 
exceeds maximum 	bundle buffer usage 
number allowed 	snprintf memset 
connections server 	strcmp read bundle 
side seen 	header strcmp 
error 	close usage 
instead regular 	verify bundle strcmp 
reply server 	close list 
closes connection 	bundle refs strcmp 
sending prevent 	usage die 
error overwritten 	create bundle strcmp 
eof 	die unbundle 
error connection 	list bundle refs 
closed see 	usage bundle 
issue another 	header begins signature 
possibility server 	bundle header 
loading dataset 	ends empty line 
also 	tip lines 
want close 	name refname prerequisites 
connection user 	name optionally 
wait server 	followed subject line 
ready take 	remember update 
request 	flag allocation fast 
regular callbacks 	check prereqs 
errors context 	missing line 
must subscribed 	line verbose errors 
monitoring proceed 	write pack 
free ing 	data bundle close 
redis 	write bundle 
free called 	refs tips already 
callback reply 	parsed revs 
either callback 	pending side effect 
callbacks begin 	may manipulate 
either way 	revs pending include 
abort 	additional necessary 
error simply 	objects like tags 
ignore client 	returns number 
doesn know 	refs written negative 
server spit 	error make 
wire disconnect 	sure refs wrote 
error 	correct max 
reading reply 	count limiting options 
helper function 	could prevented 
detect socket 	tips getting 
status first 	output non commit 
time read 	objects tags 
write 	blobs issue affected 
fires connecting 	extra constraints 
succesful connect 	run git bundle 
callback called 	create bndl 
redis err 	name positive commit 
status context 	referenced tag 
free 	tag positive end 
later connect 	range expressed 
still progress 	terms tag range 
mark context 	need include 
connected function 	name independent pack 
called socket 	objects input 
readable 	tag included output 
processes replies 	otherwise would 
read executes 	end triggering empty 
callbacks abort 	bundle error 
connect successful 	end header 
later context 	write pack data 
still 	close passed 
connected always 	commit file also 
schedule reads 	close lockfile 
abort connect 	make copy file 
successful later 	descriptor avoid 
context still 	trying close twice 
connected 	write signature 
writing done 	init revs list 
stop writing 	objects pack 
otherwise always 	objects later write 
schedule reads 	prerequisites write 
writes sets 	pack basic handler 
pointer 	bundle files 
first argument 	connect repositories via 
length starting 	sneakernet invocation 
returns number 	must include 
bytes skip 	action function create 
following argument 	bundle provide 
helper 	information existing bundle 
function redis 	supporting fetch 
command family 	pull remote bundle.h 
functions writes 	alloc sha 
formatted command 	name prerequisites references 
output buffer 	path quiet 
registers 	path header header 
provided callback 	path argc 
function context 	argv header verbose 
accept commands 	header bundle 
connection closed 	flags header argc 
setup callback 	argv cache-tree.c 
find 	one onelen two 
command appended 	twolen path 
every channel 	pathlen mdl cmp 
pattern list 	path pathlen 
subscription callbacks 	create pos 
useful call 	path pathlen path 
unsubscribe 	slash namelen 
context subscribed 	pos istate path 
one channels 	cache entries 
patterns unsubscribe 	flags funny silent 
response every 	name next 
channel pattern 	name len dst 
unsubscribed 	src cache 
receive message 	entries baselen skip 
means append 	count flags 
callback function 	buffer missing dryrun 
command monitor 	repair invalidate 
flag push 	sub path slash 
callback 	pathlen sublen 
likely result 	subcnt subskip sub 
error reply 	path slash 
needs received 	pathlen entlen sha 
passed callback 	mode expected 
always schedule 	missing sha 
write 	istate flags cache 
write buffer 	entries skip 
non empty 	buffer path pathlen 
async.h port 	prev root 
port source 	buffer size buf 
addr path 	size subtree 
privdata 	sub subtree name 
format privdata 	buffer size 
format privdata 	path slash sub 
argc argv 	sha index 
argvlen copyright 	state index path 
salvatore sanfilippo 	flags prefix 
antirez 	entries valid newfd 
gmail dot 	file subtree 
copyright pieter 	sha flags prefix 
noordhuis pcnoordhuis 	desc entry 
gmail dot 	cnt sub subtree 
rights reserved 	istate root 
redistribution 	info parent 
use source 	root ent info 
binary forms 	flags xcalloc 
without modification 	cache free free 
permitted provided 	free free 
following conditions 	memcmp subtree name 
met 	cmp subtree 
redistributions source 	pos alloc grow 
code must 	flex alloc 
retain copyright 	mem memmove strlen 
notice list 	find subtree 
conditions following 	strchrnul subtree pos 
disclaimer 	cache free 
redistributions binary 	free memmove find 
form must 	subtree invalidate 
reproduce copyright 	path invalidate path 
notice list 	stage sha 
conditions following 	hex strlen 
disclaimer 	strlen strncmp cache 
documentation materials 	free free 
provided distribution 	sha file cache 
neither name 	fully valid 
redis names 	sha file namelen 
contributors may 	memcmp strchr 
used 	find subtree cache 
endorse promote 	update one 
products derived 	die discard unused 
software without 	subtrees strbuf 
specific prior 	init namelen memcmp 
written permission 	strchr find 
software 	subtree die sha 
provided copyright 	file strbuf 
holders contributors 	release error sha 
express implied 	hex intent 
warranties including 	strbuf grow strbuf 
limited implied 	addf strbuf 
warranties 	hash sha 
merchantability fitness 	file sha file 
particular purpose 	hashcpy hash 
disclaimed shall 	sha file write 
copyright owner 	sha file 
contributors liable 	strbuf release strbuf 
direct 	release sha 
indirect incidental 	hex verify cache 
special exemplary 	update one 
consequential damages 	strbuf grow strbuf 
including limited 	strbuf addf 
procurement substitute 	sha hex strbuf 
goods 	subtree name 
services loss 	cmp die write 
use data 	one write 
profits business 	one cache strtol 
interruption however 	strtol hashcpy 
caused theory 	sha hex xcalloc 
liability 	read one 
whether contract 	cache sub 
strict liability 	die cache free 
tort including 	read one 
negligence otherwise 	strchrnul find subtree 
arising way 	xcalloc hold 
use 	file update read 
software even 	index cache 
advised possibility 	free cache cache 
damage need 	fully valid 
forward declaration 	cache update write 
redis context 	locked index 
dictionary 	cache find hashcpy 
header included 	hashcpy rollback 
reply callback 	file write index 
prototype container 	index file 
simple singly 	hashcpy init desc 
linked list 	entry isdir 
list 	lookup parse cache 
callbacks either 	sub cache 
regular replies 	prime cache 
pub sub 	rec cache free 
connection callback 	cache prime 
prototypes context 	cache rec find 
connection 	cache traversal 
redis hold 	cache find find 
regular context 	cache traversal 
realloc setup 	cache find hashcmp 
error flags 	cache cache 
used directly 	update invalidate self 
used 	find invalidate 
hiredis library 	invalidate self exists 
data hooks 	subtree subtree 
hooks called 	pos move one 
library expects 	place entries 
start reading 	subtree pos verify 
writing 	merged also 
functions idempotent 	verify cache path 
called either 	path file 
connection terminated 	time point 
due error 	know cache stage 
per user 	entries path 
request 	file always comes 
status accordingly 	path way 
redis redis 	cache sorted also 
err called 	path appear 
first write 	means conflicting one 
received regular 	would immediately 
command 	follow first scan 
callbacks subscription 	subtrees update 
callbacks functions 	start marking existing 
proxy hiredis 	subtrees ones 
handle read 	unmarked result find 
write events 	subtrees update 
command 	end level bbb 
functions context 	slash path 
write command 	baselen bbb 
output buffer 	sublen used next 
provided callback 	loop write 
atomic.c test 	level end level 
skip 	entries removed 
test body 	index written disk 
test body 	skip remain 
test body 	consistent future disk 
test body 	index intent 
test body 	entries exist disk 
test 	index part 
atomic.c test 	generated trees invalidate 
skip test 	root force 
body test 	cache users read 
body test 	elsewhere one 
body test 	cache entry consists 
body 	following path 
test body 	nul terminated entry 
test atomic.h 	count subtree 
success success 	sha missing 
atomic fetch 	invalid subtree cache 
atomic fetch 	entries subtrees 
sub 	skip name make 
atomic compare 	sure name 
exchange strong 	exists heuristic directories 
atomic store 	often want 
atomic fetchadd 	extend immediately hence 
atomic fetchadd 	read subtree 
atomic 	whole path slash 
cmpset atomic 	name subtree 
store rel 	look free memory 
atomic atomic 	becomes part 
atomic compare 	linked list parsed 
swap atomic 	atexit able 
cas 	write fine interested 
atomic read 	updating cache 
interlocked exchange 	part next caller 
interlocked exchange 	ends old 
interlocked compare 	index unupdated 
exchange interlocked 	cache part misses 
exchange 	work performance 
sync fetch 	penalty big deal 
sync sub 	find cache 
fetch sync 	corresponds current level 
compare swap 	without exploding 
sync test 	full path textual 
atomic 	form root 
fetch atomic 	cache given root 
fetch sub 	current level 
atomic compare 	info root level 
exchange strong 	info prev 
atomic store 	root otherwise find 
atomic 	cache corresponds 
fetchadd atomic 	one level find 
fetchadd atomic 	cache-tree.h cache 
cmpset atomic 	count namelen used 
store rel 	name entry 
atomic atomic 	count sha 
atomic 	subtree subtree alloc 
compare swap 	cache index 
atomic cas 	state cache strbuf 
atomic read 	root buffer 
interlocked exchange 	size cache index 
interlocked exchange 	state sha 
interlocked 	index state index 
compare exchange 	path flags 
interlocked exchange 	prefix sha flags 
sync fetch 	prefix index 
sync sub 	state cache ent 
fetch sync 	info internally 
compare 	used update one 
swap sync 	negative means 
test atomic 	invalid bitmasks write 
atomic atomic 	cache flags 
atomic atomic 	error codes 
cas atomic 	cache.h flush level 
cas 	level level 
atomic write 	flush hash hdr 
atomic write 	signature hdr 
atomic atomic 	version hdr entries 
atomic atomic 	sec nsec 
atomic cas 	ctime mtime dev 
atomic 	ino uid 
cas atomic 	gid size ent 
write atomic 	stat data 
write atomic 	mode flags namelen 
atomic atomic 	index sha 
atomic atomic 	name dst src 
cas 	state stage 
atomic cas 	mode mode trust 
atomic write 	executable bit 
atomic write 	symlinks mode mode 
jemalloc types 	cache version 
jemalloc structs 	cache cache 
jemalloc 	alloc cache changed 
externs arithmetic 	resolve undo 
functions arithmetic 	cache split index 
result atomic 	timestamp name 
operation atomic 	hash dir hash 
operation prior 	sha untracked 
mutation 	index istate istate 
following functions 	istate bare 
must redundantly 	repository cfg git 
compute result 	work cfg 
returned functions 	path gitdir gitdir 
normally inlined 	namespaced path 
extra 	path path error 
operations optimized 	code suspect 
away values 	prefix pathspec prefix 
