AboutActivity.java saved 	abspath.c path 
widget 	rlw literals prey 
collapsing toolbar 	predator index 
layout android 	negate words 
support 	ewah ewah rlw 
content context 	rlw literals 
compat android 	prey predator index 
support 	ewah ewah 
widget content 	rlw rlw literals 
loading progress 	prey predator 
bar 	index negate words 
android support 	ewah ewah 
widget 	rlw rlw literals 
linear layout 	prey predator 
manager android 	index bitmap pool 
support 	bitmap pool 
widget recycler 	size self self 
view android 	crc size 
support 	realloc buffer grow 
widget toolbar 	buffer push 
android log 	rlw run bit 
android 	rlw size 
view key 	rlw run 
android view 	bit rlw words 
view 	rlw run 
android widget 	bit buffer push 
image 	rlw rlw 
view android 	run bit rlw 
widget progress 	running len 
bar 	min size rlw 
bumptech glide 	running len 
glide bumptech 	buffer push rlw 
glide 	rlw run 
load engine 	bit rlw running 
disk cache 	len buffer 
strategy 	push rlw rlw 
xiecc see 	run bit 
weather xiecc 	rlw running len 
see 	empty words 
weather activity 	rlw words buffer 
xiecc 	push rlw 
see weather 	rlw words 
common log 	buffer push rlw 
xiecc 	words rlw 
see weather 	words buffer push 
modules adatper 	rlw words 
city 	min size rlw 
adapter xiecc 	words buffer 
see weather 	grow memcpy buffer 
modules 	push rlw 
manager xiecc 	rlw words rlw 
see weather 	running len 
modules 	rlw run bit 
weather xiecc 	rlw run 
see 	bit rlw run 
weather modules 	bit rlw 
domain city 	running len rlw 
xiecc 	running len 
see weather 	buffer push 
modules domain 	rlw rlw running 
province 	len rlw 
xiecc see 	run bit rlw 
weather modules 	words rlw 
domain 	run bit rlw 
setting list 	run bit 
list concurrent 	rlw running len 
time 	rlw running 
unit observable 	len rlw words 
observer 	empty word 
subscriber android 	eword empty word 
schedulers android 	empty words 
schedulers 	rlw words rlw 
functions func 	running len 
functions func 	rlw running len 
schedulers 	eword rlw 
schedulers android 	words rlw words 
content intent 	empty word 
android 	rlw run 
bundle android 	bit rlw running 
support design 	len callback 
widget 	rlw running len 
collapsing toolbar 	rlw words 
layout 	callback xmalloc alloc 
android support 	ewah clear 
content context 	free free rlw 
compat 	running len 
android support 	rlw words rlw 
widget content 	run bit 
loading 	eword read rlw 
progress bar 	read rlw 
android support 	rlw xor run 
widget 	bit rlw 
linear layout 	words rlwit init 
manager 	rlwit init 
android support 	rlwit word size 
widget recycler 	rlwit word 
view 	size rlwit 
android support 	discharge ewah empty 
widget toolbar 	words rlwit 
android 	discard first words 
log android 	min size 
view key 	ewah rlwit discard 
android 	first words 
view view 	rlwit discard first 
android widget 	words rlwit 
image 	word size rlwit 
view android 	discharge rlwit 
widget 	discharge max size 
progress bar 	rlwit init 
bumptech glide 	rlwit init rlwit 
glide 	word size 
bumptech glide 	rlwit word size 
load engine 	ewah empty 
disk 	words rlwit discard 
cache strategy 	first words 
xiecc see 	rlwit discard 
weather 	first words rlwit 
xiecc see 	discharge ewah 
weather activity 	empty words rlwit 
xiecc 	discard first 
see weather 	words min size 
common 	ewah rlwit 
log xiecc 	discard first words 
see weather 	rlwit discard 
modules 	first words rlwit 
adatper city 	word size 
adapter xiecc 	rlwit discharge empty 
see 	rlwit discharge 
weather modules 	empty max size 
manager xiecc 	rlwit init 
see 	rlwit init rlwit 
weather modules 	word size 
weather xiecc 	rlwit word size 
see 	ewah empty 
weather modules 	words rlwit 
domain 	discard first words 
city xiecc 	rlwit discard 
see weather 	first words rlwit 
modules 	discharge ewah 
domain province 	empty words rlwit 
xiecc see 	discard first 
weather 	words min size 
modules domain 	ewah rlwit 
setting list 	discard first words 
list 	rlwit discard 
concurrent time 	first words rlwit 
unit observable 	word size 
observer 	rlwit discharge rlwit 
subscriber android 	discharge empty 
schedulers 	max size rlwit 
android schedulers 	init rlwit 
functions func 	init rlwit 
functions 	word size rlwit 
func schedulers 	word size 
schedulers android 	ewah empty words 
content 	rlwit discard 
intent android 	first words rlwit 
bundle android 	discard first 
support 	words rlwit discharge 
design widget 	ewah empty 
collapsing toolbar 	words rlwit discard 
layout 	first words 
android support 	min size ewah 
content 	rlwit discard 
context compat 	first words rlwit 
android support 	discard first 
widget 	words rlwit word 
content loading 	size rlwit 
progress bar 	discharge rlwit discharge 
android 	max size 
support widget 	ewah ewah 
linear layout 	free ewah clear 
manager 	copyright git 
android support 	hub inc copyright 
widget recycler 	daniel lemire 
view 	cliff moon david 
android support 	intosh robert 
widget 	becho google inc 
toolbar android 	veronika zenz 
log android 	program free software 
view 	redistribute modify 
key android 	terms gnu general 
view view 	license published 
android 	free software foundation 
widget image 	either version 
view android 	license option later 
widget 	version program 
progress bar 	distributed hope useful 
bumptech glide 	without warranty 
glide 	without even 
bumptech glide 	implied warranty merchantability 
load 	fitness particular 
engine disk 	purpose see gnu 
cache strategy 	general license 
xiecc 	details received copy 
see weather 	gnu general 
xiecc see 	license along program 
weather 	write free 
activity xiecc 	software foundation inc 
see weather 	franklin street 
common 	fifth floor boston 
log xiecc 	usa sanity 
see weather 	check check completed 
modules 	stream todo 
adatper city 	zero count optimization 
adapter 	ewah ioc 
xiecc see 	self write write 
weather modules 	self write 
manager 	fun data 
xiecc see 	dump words per 
weather modules 	dump bitsize 
weather 	word count rlw 
xiecc see 	pos buffer 
weather modules 	words left buf 
domain 	len self 
city xiecc 	user data data 
see weather 	len self 
modules 	self map len 
domain province 	ptr self 
xiecc 	dump words per 
see weather 	dump bitsize 
modules domain 	word count rlw 
setting 	pos buffer 
list list 	words left write 
concurrent time 	write write 
unit 	write htonl 
observable observer 	write fun htonl 
subscriber android 	write fun 
schedulers 	htonll write fun 
android schedulers 	htonll write 
functions func 	fun htonl write 
functions 	fun write 
func schedulers 	ewah serialize strbuf 
schedulers 	ewah serialize 
android content 	realloc memcpy ntohll 
intent android 	ewah clear 
bundle 	read ntohl read 
android support 	ntohl realloc 
design widget 	read ntohll read 
collapsing 	ntohll read 
toolbar layout 	ntohl copyright git 
android support 	hub inc 
content 	copyright daniel lemire 
context compat 	cliff moon 
android support 	david intosh 
widget 	robert becho google 
content loading 	inc veronika 
progress 	zenz program free 
bar android 	software redistribute 
support widget 	modify terms gnu 
linear 	general license 
layout manager 	published free software 
android support 	foundation either 
widget 	version license option 
recycler view 	later version 
android support 	program distributed hope 
widget 	useful without 
toolbar android 	warranty without even 
log android 	implied warranty 
view 	merchantability fitness particular 
key android 	purpose see 
view 	gnu general license 
view android 	details received 
widget image 	copy gnu 
view 	general license along 
android widget 	program write 
progress bar 	free software foundation 
bumptech 	inc franklin 
glide glide 	street fifth floor 
bumptech glide 	boston usa 
load 	bit bit size 
engine disk 	map bit 
cache strategy 	number compressed bit 
xiecc 	words bit 
see weather 	position rlw bit 
xiecc 	bit size 
see weather 	map bit number 
activity xiecc 	compressed bit 
see 	words bit compressed 
weather common 	words bit 
log xiecc 	position rlw copy 
see 	raw data 
weather modules 	bitmap whole 
adatper city 	chunk little endian 
adapter 	platform perform 
xiecc see 	endianness conversion separate 
weather modules 	pass ensure 
manager 	loading aligned words 
xiecc see 	bit bit 
weather 	size map bit 
modules weather 	number compressed 
xiecc see 	bit words bit 
weather 	compressed words 
modules domain 	bit position rlw 
city xiecc 	ewah rlwc 
see 	ewah discard max 
weather modules 	negate index 
domain province 	rlw words rlw 
xiecc 	words rlw 
see weather 	running len 
modules domain 	rlw run bit 
setting 	next word 
list list 	rlwit words rlwit 
concurrent 	word size 
time unit 	next word rlwit 
observable observer 	words rlwit 
subscriber 	word size ewah 
android schedulers 	empty words 
android schedulers 	ewah dirty words 
functions 	rlwit discard 
func functions 	first words rlwit 
func schedulers 	word size 
schedulers 	ewah empty words 
android content 	rlwit word 
intent android 	size rlwit discard 
bundle 	first words 
android support 	rlwit word size 
design 	copyright git 
widget collapsing 	hub inc 
toolbar layout 	copyright daniel lemire 
android 	cliff moon 
support content 	david intosh robert 
context compat 	becho google 
android 	inc veronika zenz 
support widget 	program free 
content loading 	software redistribute modify 
progress 	terms gnu 
bar android 	general license published 
support widget 	free software 
linear 	foundation either version 
layout manager 	license option 
android 	later version program 
support widget 	distributed hope 
recycler view 	useful without warranty 
android 	without even 
support widget 	implied warranty merchantability 
toolbar android 	fitness particular 
log 	purpose see 
android view 	gnu general license 
key android 	details received 
view 	copy gnu general 
view android 	license along 
widget image 	program write free 
view 	software foundation 
android widget 	inc franklin street 
progress 	fifth floor 
bar bumptech 	boston usa ewok.h 
glide glide 	buffer buffer 
bumptech 	size alloc size 
glide load 	bit size 
engine disk 	rlw self self 
cache 	self self 
